time,open,high,low,close
2018-07-02,418.6,420,412.9,417
2018-07-03,417,418.2,407.9,412.3
2018-07-04,410.6,415.7,410.3,413.1
2018-07-05,412,419.2,410.6,419.2
2018-07-06,417.5,420.1,415.1,418.6
2018-07-09,419.6,428,419,427.6
2018-07-10,427.6,432,421.4,422
2018-07-11,420.7,427.4,418.7,422.6
2018-07-12,421,422.7,410.2,417.9
2018-07-13,417.9,426,415.8,426
2018-07-16,426,429.5,414.4,420
2018-07-17,419.9,419.9,402,413.7
2018-07-18,415.7,423.9,413.1,418.9
2018-07-19,420.3,422,412,414.9
2018-07-20,413.6,418.1,407.7,407.7
2018-07-23,409.3,416.6,408.9,414.2
2018-07-24,418.5,430,414.1,429.2
2018-07-25,422.4,439,418.3,436.1
2018-07-26,436.1,443.7,434.5,443.7
2018-07-27,443,449.9,438.7,447.8
2018-07-30,440.1,445.3,433.4,441.6
2018-07-31,439.5,446.9,428.8,446.9
2018-08-01,444.8,444.8,434.8,435.5
2018-08-02,438,447,435.4,444.2
2018-08-03,444,447.8,421.1,435.9
2018-08-06,435.2,442.5,430.5,442.5
2018-08-07,442.3,448.5,439.8,448
2018-08-08,448.6,449,435,438.3
2018-08-09,438.3,445.7,435,445
2018-08-10,419.9,432.3,402.1,421.4
2018-08-13,423.2,424.7,410.3,416.5
2018-08-14,420,423,413,422
2018-08-15,424.4,424.4,403.3,414.6
2018-08-16,416.6,419.9,409.1,411.6
2018-08-17,413.2,413.2,400.6,405.5
2018-08-20,409.6,424,409.6,420.8
2018-08-21,417.7,424.6,415,419
2018-08-22,419.7,426.9,416.7,426.8
2018-08-23,426.8,430.4,423.1,425.5
2018-08-24,425,439.7,418,439.3
2018-08-27,435,443.8,430.6,439.8
2018-08-28,440,443,429,433.7
2018-08-29,433,436.8,419.1,424.1
2018-08-30,425,426.6,411.3,414.9
2018-08-31,415.5,437.5,411.1,437.3
2018-09-03,435.4,440.8,434,436.7
2018-09-04,433.2,440,426.6,435
2018-09-05,429.1,434.9,427.8,428.9
2018-09-06,428.9,442.5,427,436.1
2018-09-07,435.8,437.3,426.6,430.8
2018-09-10,431,439,428.1,433.6
2018-09-11,433.1,437,429.6,435
2018-09-12,434.5,437.6,415,429.9
2018-09-13,430,432.6,420.2,423.3
2018-09-14,423.8,424,410,414.5
2018-09-17,415.6,416.6,405.4,410.5
2018-09-18,411,418,408.2,411
2018-09-19,412.7,413.2,407.7,408.9
2018-09-20,410,415.2,407.5,407.5
2018-09-21,407.7,412.9,407,412.2
2018-09-24,412.4,416.5,405.5,406
2018-09-25,407.9,408.5,405.3,405.3
2018-09-26,406.6,409.2,392.8,404.8
2018-09-27,405,409.4,401.4,409.4
2018-09-28,409,412.8,403.3,412.8
